ts,run_id,label,dpid,port_no,interval_s,tx_rate_bps,rx_rate_bps,tx_pps,rx_pps,tx_err_rate,rx_err_rate,tx_drop_rate,rx_drop_rate,utilization,loss_rate,score,is_anomaly
1778468173.665,20260511_084048,normal,00:00:00:00:00:00:02:02,1,4.996,7404.472,400.328,9.408,0.600,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,,
1778468173.666,20260511_084048,normal,00:00:00:00:00:00:02:01,1,4.996,7548.862,256.219,9.608,0.400,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,,
1778468173.667,20260511_084048,normal,00:00:00:00:00:00:03:01,4,4.996,3266.525,3314.562,3.202,3.202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468173.669,20260511_084048,normal,00:00:00:00:00:00:03:02,1,4.992,7105.188,512.779,8.813,0.801,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,,
1778468173.669,20260511_084048,normal,00:00:00:00:00:00:01:03,4,4.999,3168.717,3463.183,3.001,3.201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468173.669,20260511_084048,normal,00:00:00:00:00:00:02:03,4,4.996,3314.558,3561.148,3.202,3.403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468173.670,20260511_084048,normal,00:00:00:00:00:00:01:02,1,4.997,7194.073,512.262,9.005,0.800,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,,
1778468173.670,20260511_084048,normal,00:00:00:00:00:00:03:03,4,4.994,3146.304,3412.234,3.004,3.404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468173.665,20260511_084048,normal,00:00:00:00:00:00:02:02,4,4.996,3522.889,3465.242,3.603,3.203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468173.671,20260511_084048,normal,00:00:00:00:00:00:01:01,4,5.003,3348.664,3348.664,2.998,2.998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468173.666,20260511_084048,normal,00:00:00:00:00:00:02:01,4,4.996,3449.353,3177.120,3.203,3.003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
